"Title","Status","Labels"
"Text Message: Pydantic Command","Done","Text"
"Text Message: Renderer","Done","Text"
"Text Message: Payload Schema","Done","Text"
"Text Message: Handler wired","Done","Text"
"Text Message: Sent successfully","Done","Text"
"Text Message: Status update handled","Done","Text"
"Text Message (Reply): context.message_id","Done","Text"
"Text Message (Reply): Renderer handles reply","Done","Text"
"Text Message (Reply): Tested","Done","Text,Test"
"Text Message with Preview URL","Done","Text"
"Text Message with Preview URL (Reply)","Done","Text"
"Image Message by URL","Done","Media,Image"
"Image Message by URL (Reply)","Done","Media,Image"
"Image Message by ID","Done","Media,Image"
"Image Message by ID (Reply)","Done","Media,Image"
"Video Message by URL","Done","Media,Video"
"Video Message by URL (Reply)","Done","Media,Video"
"Video Message by ID","Done","Media,Video"
"Video Message by ID (Reply)","Done","Media,Video"
"Audio Message by URL","Done","Media,Audio"
"Audio Message by URL (Reply)","Done","Media,Audio"
"Audio Message by ID","Done","Media,Audio"
"Audio Message by ID (Reply)","Done","Media,Audio"
"Document Message by URL","Done","Media,Document"
"Document Message by URL (Reply)","Done","Media,Document"
"Document Message by ID","Done","Media,Document"
"Document Message by ID (Reply)","Done","Media,Document"
"Sticker Message by URL","Done","Media,Sticker"
"Sticker Message by URL (Reply)","Done","Media,Sticker"
"Sticker Message by ID","Done","Media,Sticker"
"Sticker Message by ID (Reply)","Done","Media,Sticker"
"Location Message","Done","Location"
"Location Message (Reply)","Done","Location"
"Contact Message","Todo","Contact"
"Contact Message (Reply)","Todo","Contact"
"Interactive Button Message","Done","Interactive"
"Interactive Button Message (Reply)","Done","Interactive"
"Interactive List Message","Done","Interactive"
"Interactive List Message (Reply)","Done","Interactive"
"Template Message (Text Only)","Done","Template"
"Template Message (Text - Reply)","Done","Template"
"Template Message (Media Header)","Done","Template"
"Template Message (Media - Reply)","Done","Template"
"Product Message","Todo","Commerce"
"Product Message (Reply)","Todo","Commerce"
"Multi-Product Message","Todo","Commerce"
"Catalog Message","Todo","Commerce"
"Catalog Template Message","Todo","Commerce"
"Mark Message as Read","Done","System"
"Reaction Message","Done","System"
"Reaction Message (Reply)","Done","System"
"Global: All renderers return Pydantic payloads","Done","Global"
"Global: Unified client sends payload without knowing type","Done","Global"
